Date,Open,High,Low,close,Bitcoin_MarCap,BtcDominance,TotalMarketCap,TMC_Without_Btc,avg_mining_difficulty,avg_hashrate,avg_transac_fee,avg_transac_value,GPRC_USA,Infla,miners_revenue,nb_btc_in_circulation,SMA_20,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0
2013-05-17,118.20999908447266,125.30000305175781,116.57099914550781,123.01499938964844,1373723881.88,95.3061,1384470016.0,64985300.0,11187257,86183643050509,0.105,1620,1.7678042650222778,231.893,490901.81071408,11165250.0,117.14041258184277,137.97197950220868,117.14041258184277,96.30884566147685
2013-05-18,123.5,125.25,122.30000305175781,123.49800109863281,1379574545.85,94.9963,1448819968.0,72494096.0,11187257,81582905961037,0.0857,1618,1.7678042650222778,231.893,471151.04176,11173700.0,116.91759986877442,137.3537349587,116.91759986877442,96.48146477884883
2013-05-19,123.21099853515625,124.5,119.57099914550781,121.98999786376953,1363204702.75,94.9963,1448819968.0,72494096.0,11187257,90314218425354,0.112,1003,1.7678042650222778,231.893,429152.38499,11177150.0,115.79010009765625,131.82346446439504,115.79010009765625,99.75673573091747
2013-05-20,122.5,123.62100219726562,120.12000274658203,122.0,1363709900.0,95.0092,1440290048.0,71881904.0,11187257,78831535490995,0.101,1263,1.7678042650222778,231.893,398718.883928346,11176375.0,114.94010009765626,127.13578591531285,114.94010009765626,102.74441427999966
2013-05-21,122.0199966430664,123.0,121.20999908447266,122.87999725341797,1374013440.0,95.0092,1440290048.0,71881904.0,11187257,78234657754155,0.0997,1439,1.7678042650222778,231.893,515701.2,11185025.0,115.23460006713867,127.91359517945573,115.23460006713867,102.55560495482162
2013-05-22,122.88999938964844,124.0009994506836,122.0,123.88899993896484,1385778992.85,95.129,1453590016.0,70803800.0,11187257,88443185314328,0.112,1669,1.7678042650222778,231.893,512482.26,11189050.0,116.16855010986328,128.48504409715272,116.16855010986328,103.85205612257384
2013-05-23,123.80000305175781,126.93399810791016,123.0999984741211,126.69999694824219,1417769832.5,95.129,1453590016.0,70803800.0,11187257,90431457737529,0.112,1406,1.7678042650222778,231.893,548198.01918393,11187500.0,117.6160499572754,127.35278866184277,117.6160499572754,107.87931125270802
2013-05-24,126.30000305175781,133.85000610351562,125.71900177001953,133.1999969482422,1491070770.0,95.362,1562419968.0,72465200.0,11187257,95283232048976,0.109,1707,1.7678042650222778,231.893,577864.95,11197400.0,118.6510498046875,130.30916489855565,118.6510498046875,106.99293471081936
2013-05-25,133.10000610351562,133.218994140625,128.89999389648438,131.97999572753906,1477958233.0,95.362,1562419968.0,72465200.0,11450754,95027092812990,0.118,1822,1.7678042650222778,231.893,543560.62555,11201425.0,119.45454940795898,132.45508023949628,119.45454940795898,106.45401857642166
2013-05-26,131.98599243164062,136.0,130.61500549316406,133.47999572753906,1495293015.0,95.3898,1573330048.0,72534096.0,12153412,99559840402907,0.1,1216,1.7678042650222778,231.893,548644.813471673,11198625.0,120.51354904174805,134.4752377154113,120.51354904174805,106.5518603680848
2013-05-27,133.5,135.46499633789062,124.69999694824219,129.7449951171875,1454029509.62,95.3898,1573330048.0,72534096.0,12153412,1.0477652245193E+14,0.119,1611,1.7678042650222778,231.893,526629.384,11209775.0,121.42579879760743,135.29164554359943,121.42579879760743,107.55995205161543
2013-05-28,129.77000427246094,130.5800018310547,125.5999984741211,129.0,1446189975.0,95.4023,1515890048.0,69695400.0,12153412,96339507342859,0.121,1559,1.7678042650222778,231.893,552544.72494,11209825.0,122.19749870300294,135.9389060085421,122.19749870300294,108.45609139746378
2013-05-29,129.0,132.58999633789062,127.66200256347656,132.3000030517578,1483734577.5,95.4023,1515890048.0,69695400.0,12153412,1.0063432194971E+14,0.12,1857,1.7678042650222778,231.893,568010.48119275,11218200.0,123.17899894714355,136.85914420725743,123.17899894714355,109.49885368702968
2013-05-30,132.25,132.25,127.0,128.7989959716797,1445053940.55,95.6685,1505750016.0,65221100.0,12153412,1.0336695008742E+14,0.106,1385,1.7678042650222778,231.893,598246.70256,11222850.0,123.75894889831542,137.3550345644201,123.75894889831542,110.16286323221075
2013-05-31,128.7989959716797,129.89999389648438,126.4000015258789,129.0,1447870200.0,95.6685,1505750016.0,65221100.0,12153412,1.1019729076722E+14,0.105,1568,1.7678042650222778,231.893,644576.05605,11220925.0,124.44679908752441,137.61405312523277,124.44679908752441,111.27954504981605
2013-06-01,128.81500244140625,129.77999877929688,127.1989974975586,129.3000030517578,1451916165.0,95.8299,1511010048.0,63010600.0,12153412,1.1612360553845E+14,0.0968,1135,1.8646067380905151,232.445,750633.183040245,11232900.0,125.1617992401123,137.70751204190228,125.1617992401123,112.61608643832234
2013-06-02,129.3000030517578,129.39999389648438,115.05000305175781,122.29199981689453,1373837499.9,95.8299,1511010048.0,63010600.0,12153412,1.2724109532339E+14,0.122,1065,1.8646067380905151,232.445,632880.10548,11232250.0,125.37739906311035,137.54598426000638,125.37739906311035,113.20881386621431
2013-06-03,122.5,122.5,116.0,122.22200012207031,1373708057.9,95.7515,1436720000.0,61038300.0,12153412,1.2437809973374E+14,0.127,1676,1.8646067380905151,232.445,640691.07182,11243375.0,125.91349906921387,136.3258397781639,125.91349906921387,115.50115836026386
2013-06-04,120.73699951171875,123.83999633789062,119.0999984741211,121.41999816894531,1365337545.0,95.7515,1436720000.0,61038300.0,12153412,1.2528405884592E+14,0.113,1364,1.8646067380905151,232.445,674785.549424747,11243600.0,126.27349891662598,135.40230406172148,126.27349891662598,117.1446937715305
2013-06-05,121.4000015258789,123.46900177001953,119.89900207519531,121.6500015258789,1368486468.75,95.5824,1435030016.0,63394000.0,13466757,1.390330022705E+14,0.128,1439,1.8646067380905151,232.445,542260.08014,11252875.0,126.41799888610839,135.12792227051918,126.41799888610839,117.70807550169762
2013-06-06,121.9000015258789,123.0999984741211,117.25,118.0,1327960200.0,95.5824,1435030016.0,63394000.0,15605633,1.4238987506043E+14,0.0905,1649,1.8646067380905151,232.445,448349.21565,11256900.0,126.16724891662598,135.55226411949238,126.16724891662598,116.78223371375958
2013-06-07,118.97000122070312,119.0,106.41999816894531,111.5,1255258637.5,95.6198,1304230016.0,57127400.0,15605633,1.252010342321E+14,0.0866,1486,1.8646067380905151,232.445,483513.334941159,11254800.0,125.56734886169434,136.9845900212272,125.56734886169434,114.15010770216149
2013-06-08,111.0,111.41500091552734,107.30000305175781,108.30000305175781,1219717920.0,95.6198,1304230016.0,57127400.0,15605633,1.318326852356E+14,0.106,909.799,1.8646067380905151,232.445,414659.06495,11265275.0,124.88284912109376,138.6108199744156,124.88284912109376,111.15487826777192
